"Register","Description","Access","Data Type / Handling","Scale","Unit","Deye Range","Sol-Ark Status","Notes"
"231","Generator charge enable","R/W","uint16","1","flag","","Candidate",""
"232","Utility/grid charge enable","R/W","uint16","1","flag","","Candidate",""
"233","Solar input as PSU","Unspecified","uint16","1","enum","0-1","Candidate","0 solar; 1 PSU"
"234","Force generator as load","R/W","uint16","1","flag","0-1","Candidate","Depends on register 235 mode"
"235","Generator/Smart Load port mode","R/W","uint16","1","enum","0-2","Candidate","0 generator input; 1 Smart Load output; 2 inverter/AC-coupled input"
"236","Smart Load off battery voltage","R/W","uint16","0.01","V","3800-6300","Candidate",""
"237","Smart Load off SOC","R/W","uint16","1","%","0-100","Candidate",""
"238","Smart Load on battery voltage","R/W","uint16","0.01","V","3800-6300","Candidate",""
"239","Smart Load on SOC","R/W","uint16","1","%","0-100","Candidate",""
"240","PWM test enable","R/W","uint16","1","flag","0-1","Do not write","Factory/test function"
"241","Minimum solar power to start generator","R/W","uint16","1","W","0-8000","Candidate","Model-specific range"
"242","Gen/Grid signal on","Unspecified","uint16","1","raw","","Unverified","Meaning/access unclear in source"
"243","Energy management mode","Unspecified","uint16","1","enum","0-1","Candidate","0 battery priority; 1 load priority"
"244","Limit control function","R/W","uint16","1","enum","0-2","Candidate","0 power sell; 1 internal limiter; 2 external limiter"
"245","Maximum grid-connected output power","R/W","uint16","1","W","0-8000","Candidate","Document says total power; range likely model-specific"
"246","External CT phase selection","R/W","uint16","1","bitfield","","Unverified","Translated range/bit layout unclear"
"247","PV sell enable","R/W","uint16","1","flag","0-1","Candidate","0 do not sell; 1 PV sell"
"248","TOU and weekday enable flags","R/W","uint16","1","bitfield","","Strong candidate","Bit0 TOU enable; bits1-7 Monday-Sunday; bit8 special operating mode; read/correlate before writing"
"249","Reserved/undefined","R/W","uint16","1","raw","","Do not use","Reserved"
"250","TOU period 1 time","R/W","uint16","1","HHMM","0000-2359","Confirmed","FC3 read and FC16 quantity-one write confirmed; decimal HHMM"
"251","TOU period 2 time","R/W","uint16","1","HHMM","0000-2359","Confirmed address","Screen value 04:00 matched raw 400"
"252","TOU period 3 time","R/W","uint16","1","HHMM","0000-2359","Confirmed address","Screen value 08:00 matched raw 800"
"253","TOU period 4 time","R/W","uint16","1","HHMM","0000-2359","Confirmed address","Screen value 12:00 matched raw 1200"
"254","TOU period 5 time","R/W","uint16","1","HHMM","0000-2359","Confirmed address","Screen value 16:00 matched raw 1600"
"255","TOU period 6 time","R/W","uint16","1","HHMM","0000-2359","Confirmed address","Screen value 20:00 matched raw 2000"
"256","TOU period 1 power","R/W","uint16","1","W","0-8000","Strong candidate","Deye ceiling likely obsolete for Sol-Ark 15K"
"257","TOU period 2 power","R/W","uint16","1","W","0-8000","Strong candidate",""
"258","TOU period 3 power","R/W?","uint16","1","W","0-8000","Strong candidate","Source access column appears inconsistent"
"259","TOU period 4 power","R/W","uint16","1","W","0-8000","Strong candidate",""
"260","TOU period 5 power","R/W?","uint16","1","W","0-8000","Strong candidate","Source access column appears inconsistent"
"261","TOU period 6 power","R/W","uint16","1","W","0-8000","Strong candidate",""
"262","TOU period 1 battery voltage","R/W","uint16","0.01","V","0-6300","Strong candidate",""
"263","TOU period 2 battery voltage","R/W","uint16","0.01","V","0-6300","Strong candidate",""
"264","TOU period 3 battery voltage","R/W","uint16","0.01","V","0-6300","Strong candidate",""
"265","TOU period 4 battery voltage","R/W","uint16","0.01","V","0-6300","Strong candidate",""
"266","TOU period 5 battery voltage","R/W","uint16","0.01","V","0-6300","Strong candidate",""
"267","TOU period 6 battery voltage","R/W","uint16","0.01","V","0-6300","Strong candidate",""
"268","TOU period 1 SOC","R/W","uint16","1","%","0-100","Strong candidate",""
"269","TOU period 2 SOC","R/W","uint16","1","%","0-100","Strong candidate",""
"270","TOU period 3 SOC","R/W","uint16","1","%","0-100","Strong candidate",""
"271","TOU period 4 SOC","R/W","uint16","1","%","0-100","Strong candidate",""
"272","TOU period 5 SOC","R/W","uint16","1","%","0-100","Strong candidate",""
"273","TOU period 6 SOC","R/W","uint16","1","%","0-100","Strong candidate",""
"274","TOU period 1 charge/mode flags","R/W","uint16","1","bitfield","","Strong candidate","Bit0 grid charge; bit1 generator charge; bits2-4 GM/BU/CH unverified"
"275","TOU period 2 charge/mode flags","R/W","uint16","1","bitfield","","Strong candidate","Same bit layout as 274"
"276","TOU period 3 charge/mode flags","R/W","uint16","1","bitfield","","Strong candidate","Same bit layout as 274"
"277","TOU period 4 charge/mode flags","R/W","uint16","1","bitfield","","Strong candidate","Same bit layout as 274"
"278","TOU period 5 charge/mode flags","R/W","uint16","1","bitfield","","Strong candidate","Same bit layout as 274"
"279","TOU period 6 charge/mode flags","R/W","uint16","1","bitfield","","Strong candidate","Same bit layout as 274"
"280","Export/peak-shaving/system flags","R/W","uint16","1","bitfield","","High risk","Includes export cutoff; generator/grid peak shaving; on-grid always-on; relay; battery-loss; DRM flags"
"281","External sensor direction auto-detect","R/W","uint16","1","flag","0-1","Candidate",""
"282","Grid reconnection time","R/W","uint16","1","raw","10-300","High risk","Unit not clearly stated"
"283","Arc-fault mode/reset","R/W","uint16","1","enum","0-2","Do not write","0 close; 1 open; 2 reset/clear per translated source"
"284","Grid interconnection standard","R/W","uint16","1","enum","","Do not write","Grid-code selection; values include general; UL1741/IEEE1547; Rule 21; SRD-UL1741"
"285","Grid frequency setting","R/W","uint16","1","enum","0-1","Do not write","0 50 Hz; 1 60 Hz"
"286","Grid type","R/W","uint16","1","enum","0-3","Do not write","Includes 120/240 split-phase and three-phase modes"
"287","Grid high-voltage protection","R/W","uint16","0.1","V","1800-2700","Do not write","Regulatory/protection setting"
"288","Grid low-voltage protection","R/W","uint16","0.1","V","1800-2700","Do not write","Regulatory/protection setting"
"289","Grid high-frequency protection","R/W","uint16","0.01","Hz","4500-6500","Do not write","Regulatory/protection setting"
"290","Grid low-frequency protection","R/W","uint16","0.01","Hz","4500-6500","Do not write","Regulatory/protection setting"
"291","Generator connected to grid-input terminal","R/W","uint16","1","flag","0-1","High risk","0 disabled; 1 enabled"
"292","Generator peak-shaving power","R/W","uint16","1","W","0-16000","Candidate",""
"293","Grid peak-shaving power","R/W","uint16","1","W","0-16000","Candidate",""
"294","Smart Load open delay","R/W","uint16","1","minute","1-120","Candidate",""
"295","Output power-factor target","R/W","uint16","0.001","ratio","800-1200","Do not write","Active regulation; source says 800=80% and 1200=120%"
"296","External relay bits","R/W","uint16","1","bitfield","0-65535","High risk","Bits correspond to external relays; exact mapping unverified"
"311","UPS time","R/W","uint16","1","second","","Unverified","Source says 0 default; 1 one second"
"312","BMS charging voltage","R/W","uint16","0.01","V","","Candidate telemetry/control","May be populated by lithium BMS; do not write"
"313","BMS discharge voltage","R/W","uint16","0.01","V","","Candidate telemetry/control","May be populated by lithium BMS; do not write"
"314","BMS charge-current limit","R/W","uint16","1","A","","Candidate telemetry/control","May be populated by lithium BMS; do not write"
"315","BMS discharge-current limit","R/W","uint16","1","A","","Candidate telemetry/control","May be populated by lithium BMS; do not write"
"316","BMS real-time SOC","R/W","uint16","1","%","","Candidate telemetry",""
"317","BMS real-time voltage","R/W","uint16","0.01","V","","Candidate telemetry",""
"318","BMS real-time current","R/W","int16","1","A","","Candidate telemetry","Signed behavior should be field-validated"
"319","BMS real-time temperature","R/W","uint16","0.1","C","","Candidate telemetry","Offset raw 1000=0 C; 1200=20 C"
"320","BMS maximum charge-current limit","R/W","uint16","1","A","","Candidate telemetry/control","Do not write"
"321","BMS maximum discharge-current limit","R/W","uint16","1","A","","Candidate telemetry/control","Do not write"
